I1,,,,857,2798,IMG_4131.JPG,4032,3024
I13,,,,861,1021,IMG_4131.JPG,4032,3024
I2,,,,2320,2805,IMG_4131.JPG,4032,3024
I3,H2,,,2327,2438,IMG_4131.JPG,4032,3024
I4,H1,,,1970,2435,IMG_4131.JPG,4032,3024
I5,H5,G1,,1980,1555,IMG_4131.JPG,4032,3024
I7,F6,E2,,1983,1172,IMG_4131.JPG,4032,3024
I6,G4,F1,,1996,1378,IMG_4131.JPG,4032,3024
I8,E1,D2,,1807,1181,IMG_4131.JPG,4032,3024
I10,C1,A2,,1443,1175,IMG_4131.JPG,4032,3024
I9,D1,C2,,1620,1178,IMG_4131.JPG,4032,3024
I11,A1,,,1165,1175,IMG_4131.JPG,4032,3024
I12,A6,,,1162,1028,IMG_4131.JPG,4032,3024
H3,,,,3168,2441,IMG_4131.JPG,4032,3024
H4,G2,,,3132,1558,IMG_4131.JPG,4032,3024
G3,F2,,,3122,1394,IMG_4131.JPG,4032,3024
F3,,,,3125,563,IMG_4131.JPG,4032,3024
F4,,,,1987,543,IMG_4131.JPG,4032,3024
F5,E3,,,1977,759,IMG_4131.JPG,4032,3024
E4,B4,,,1803,756,IMG_4131.JPG,4032,3024
D3,E5,B3,,1807,962,IMG_4131.JPG,4032,3024
C4,B1,A3,,1453,956,IMG_4131.JPG,4032,3024
C3,B2,D4,,1630,952,IMG_4131.JPG,4032,3024
A4,B5,,,1456,772,IMG_4131.JPG,4032,3024
A5,,,,1159,763,IMG_4131.JPG,4032,3024